"subplot_id","year","speriod","dwd_fuel_10h","dwd_fuel_100h","dwd_fuel_1000h_s","dwd_fuel_1000h_r","tree_ltr_ld","tree_duff_ld","tree_ltr_depth","tree_duff_depth","tree_ltr_bulkd","tree_duff_bulkd","tree_cover_ttl","tree_cvr_JUOS","tree_cvr_PIED","tree_cvr_PIMO","live_tree_ltr_duff_ld","dead_tree_ltr_duff_ld","tree_ltr_duff_ld","rcode","scode","pcode","ptype","sp_number","treatment","sp_phase"
"JP-SC-BC005","17","001",1040,1544,1187,200,NA,NA,NA,NA,NA,NA,0.4,0.4,0,0,44,4,48,"JP","SC","B","CP","005","FI","2"
"JP-SC-BC006","17","001",582,1103,329,247,NA,NA,NA,NA,NA,NA,3,3,0,0,NA,470,470,"JP","SC","B","CP","006","FI","1"
"JP-SC-BC007","17","001",610,882,533,158,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","SC","B","CP","007","FI","2"
"JP-SC-BC008","17","001",956,1544,0,158,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,"JP","SC","B","CP","008","FI","2"
"JP-SC-BC011","17","001",1234,5073,608,358,NA,NA,NA,NA,NA,NA,1.2,1.2,0,0,436,NA,436,"JP","SC","B","CP","011","FI","3"
"JP-SC-BC012","17","001",444,1434,398,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,2,2,"JP","SC","B","CP","012","FI","1"
"JP-SC-BC013","17","001",735,1323,421,200,NA,NA,NA,NA,NA,NA,0.4,0.4,0,0,NA,18,18,"JP","SC","B","CP","013","FI","3"
"JP-SC-BC014","17","001",1580,1985,1661,0,NA,NA,NA,NA,NA,NA,0.1,0.1,0,0,NA,8,8,"JP","SC","B","CP","014","FI","2"
"JP-SC-BC015","17","001",748,1985,477,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","SC","B","CP","015","FI","1"
"JP-SC-BC016","17","001",1137,331,1375,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,"JP","SC","B","CP","016","FI","1"
"JP-SC-BC017","17","001",804,1434,1148,0,NA,NA,NA,NA,NA,NA,0.2,0.2,0,0,NA,NA,NA,"JP","SC","B","CP","017","FI","2"
"JP-SC-BC018","17","001",1358,1764,3473,0,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,"JP","SC","B","CP","018","FI","2"
"JP-SC-BC025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JP-SC-CC001","17","001",1566,1875,477,0,NA,NA,NA,NA,NA,NA,19.5,19.5,0,0,6826,1645,8471,"JP","SC","C","CP","001","CO","2"
"JP-SC-CC002","17","001",984,2757,3062,247,NA,NA,NA,NA,NA,NA,14,13.5,0.5,0,6843,NA,6843,"JP","SC","C","CP","002","CO","1"
"JP-SC-CC003","17","001",1289,4191,2016,804,NA,NA,NA,NA,NA,NA,7.8,7,0.8,0,3160,NA,3160,"JP","SC","C","CP","003","CO","1"
